Protein Group Identifications: Injured vs Non-injured No Diet Kidney Lysate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3945 identified protein groups with >= 2 unique peptides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120 min DIA sample files  were searched with 120 min Deep Library in Spectronaut v16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG.Genes,PG.ProteinDescriptions,PG.UniProtIds,PG.CellularComponent,PG.BiologicalProcess,PG.MolecularFunction,PG.Qvalue,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsIdentified,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsIdentified,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsIdentified,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsIdentified,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsIdentified,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsUsedForQuantification,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.Quantity,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.Quantity,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.Quantity,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.Quantity,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.Quantity
Cisd3,"CDGSH iron-sulfur domain-containing protein 3, mitochondrial;CDGSH iron sulfur domain 3;CDGSH iron-sulfur domain-containing protein 3, mitochondrial",B1AR13;B2RWE3;Z4YKM2,mitochondrion;;,biological_process;;,"metal ion binding,2 iron, 2 sulfur cluster binding;;",6.79E-28,5,4,4,2,5,5,3,3,5,4,4,2,5,5,3,3,57.29170609,33.55613327,69.11508942,20.55101395,44.87246323,43.11086273,15.89564991,29.15274048
Pecam1,Platelet endothelial cell adhesion molecule;Platelet endothelial cell adhesion molecule;Isoform 2 of Platelet endothelial cell adhesion molecule;Isoform 3 of Platelet endothelial cell adhesion molecule,B1ARB3;Q08481;Q08481-2;Q08481-3,";extracellular space,plasma membrane,external side of plasma membrane,membrane,integral component of membrane,cell junction,smooth muscle contractile fiber,membrane raft,extracellular exosome,cell periphery;;",";angiogenesis,endothelial cell morphogenesis,phagocytosis,Rho protein signal transduction,regulation of cell migration,wound healing,positive regulation of tyrosine phosphorylation of STAT protein,endothelial cell migration,diapedesis,endothelial cell-matrix adhesion;;",;protein binding;;,4.19E-27,4,5,2,4,5,3,5,5,4,5,2,4,5,3,5,5,3.633666039,5.568975925,5.06052351,2.932285309,2.914929628,6.72483778,3.504748821,2.422280788
Macf1,Microtubule-actin cross-linking factor 1,B1ARU4;E9PVY8;E9QA63;Q9QXZ0,";;;cytoplasm,Golgi apparatus,microtubule,cell cortex,postsynaptic density,actin cytoskeleton,microtubule cytoskeleton,membrane,ruffle membrane",";;;mesoderm formation,posttranslational protein targeting to membrane,establishment or maintenance of cell polarity,protein localization,regulation of epithelial cell migration,Wnt signaling pathway,positive regulation of Wnt signaling pathway,regulation of microtubule-based process,wound healing,Golgi to plasma membrane protein transport,regulation of focal adhesion assembly",";;;actin binding,calcium ion binding,protein binding,microtubule binding,ATPase activity",4.47E-25,23,39,27,22,26,31,38,35,23,39,27,22,26,31,38,35,24.56778526,33.35255051,35.31670761,32.28066254,27.54145622,28.91697311,39.00898361,36.73083496
Jak1,Tyrosine-protein kinase;Tyrosine-protein kinase JAK1,B1ASP2;P52332,";nucleus,cytoplasm,cytosol,cytoskeleton,focal adhesion,endomembrane system,extrinsic component of cytoplasmic side of plasma membrane",";enzyme linked receptor protein signaling pathway,transmembrane receptor protein tyrosine kinase signaling pathway,cell migration,peptidyl-tyrosine phosphorylation,cytokine-mediated signaling pathway,cell differentiation,intracellular signal transduction,interleukin-12-mediated signaling pathway,cellular response to interleukin-3,peptidyl-tyrosine autophosphorylation,interleukin-2-mediated signaling pathway,interleukin-7-mediated signaling pathway,regulation of cell proliferation,innate immune response,response to antibiotic,positive regulation of sprouting angiogenesis",";protein tyrosine kinase activity,non-membrane spanning protein tyrosine kinase activity,growth hormone receptor binding,protein binding,ATP binding,protein phosphatase binding,ubiquitin protein ligase binding,metal ion binding",0.000119008,1,2,1,1,Filtered,Filtered,2,2,1,2,0,0,Filtered,Filtered,2,2,1.921489716,3.014504433,NaN,NaN,Filtered,Filtered,2.193511486,0.67398572
Prpsap1,"MCG6846, isoform CRA_c;Phosphoribosyl pyrophosphate synthase-associated protein 1",B1AT82;Q9D0M1,;,";nucleoside metabolic process,nucleotide biosynthetic process",";magnesium ion binding,ribose phosphate diphosphokinase activity,identical protein binding",5.26E-34,7,7,6,7,6,6,7,7,7,7,6,7,6,6,7,7,18.43704605,35.09224701,40.87261963,24.42484665,24.56071663,37.58783722,44.19609451,31.04702187
Grb2,Growth factor receptor-bound protein 2,B1AT92;Q60631,";nucleus,nucleoplasm,nucleolus,cytoplasm,endosome,Golgi apparatus,cytosol,plasma membrane,cell-cell junction,COP9 signalosome,vesicle membrane,membrane,extrinsic component of cytoplasmic side of plasma membrane,extracellular exosome,Grb2-EGFR complex",";Ras protein signal transduction,aging,insulin receptor signaling pathway,positive regulation of signal transduction,cell migration,cell differentiation,positive regulation of actin filament polymerization,receptor internalization,peptidyl-tyrosine autophosphorylation,Fc-epsilon receptor signaling pathway,regulation of cell proliferation,signal transduction in response to DNA damage,regulation of MAPK cascade,innate immune response,anatomical structure formation involved in morphogenesis,protein heterooligomerization,branching involved in labyrinthine layer morphogenesis,cellular response to ionizing radiation,positive regulation of reactive oxygen species metabolic process",";phosphotyrosine binding,RNA binding,non-membrane spanning protein tyrosine kinase activity,SH3/SH2 adaptor activity,epidermal growth factor receptor binding,neurotrophin TRKA receptor binding,protein binding,SH3 domain binding,protein kinase binding,protein phosphatase binding,protein domain specific binding,identical protein binding,insulin receptor substrate binding,ephrin receptor binding",6.93E-26,7,8,6,7,7,7,8,9,7,8,6,7,7,7,8,9,50.64493561,68.11019135,34.5132637,85.17137909,28.71899605,42.06476212,86.04762268,58.20835495
Aldh3a2,Aldehyde dehydrogenase;Aldehyde dehydrogenase;Fatty aldehyde dehydrogenase,B1ATI0;B1AV77;P47740,";;mitochondrion,mitochondrial inner membrane,peroxisome,endoplasmic reticulum,endoplasmic reticulum membrane,integral component of membrane,intracellular membrane-bounded organelle,extracellular exosome",";;cellular aldehyde metabolic process,sesquiterpenoid metabolic process,central nervous system development,peripheral nervous system development,epidermis development,phytol metabolic process,oxidation-reduction process",";;aldehyde dehydrogenase (NAD) activity,aldehyde dehydrogenase [NAD(P)+] activity,long-chain-alcohol oxidase activity,long-chain-aldehyde dehydrogenase activity,medium-chain-aldehyde dehydrogenase activity",4.65E-57,27,26,27,26,27,26,27,27,27,26,27,26,27,26,27,27,434.1199036,257.7223816,520.2272949,216.6352997,494.0476379,431.328125,178.4606018,263.0321045
Hgs,Hepatocyte growth factor-regulated tyrosine kinase substrate,B1ATZ0;B1ATZ1;Q3UMA3;Q99LI8,";;;cytoplasm,lysosome,endosome,early endosome,cytosol,early endosome membrane,multivesicular body membrane,ESCRT-0 complex,intracellular membrane-bounded organelle,extracellular exosome",";;;protein targeting to lysosome,membrane invagination,positive regulation of gene expression,regulation of MAP kinase activity,negative regulation of JAK-STAT cascade,protein localization to membrane,positive regulation of exosomal secretion",";;;protein binding,protein domain specific binding,identical protein binding,ubiquitin-like protein ligase binding,metal ion binding,Requires Ontology",2.12E-32,8,7,7,6,6,7,8,8,8,7,7,6,6,7,8,8,73.65918732,94.50488281,70.01063538,63.04356384,74.25164032,67.78390503,110.7359238,100.934494
Aifm1,"Apoptosis-inducing factor 1, mitochondrial;Apoptosis-inducing factor 1, mitochondrial",B1AU25;Q9Z0X1,";nucleus,cytoplasm,mitochondrion,mitochondrial outer membrane,mitochondrial inner membrane,mitochondrial intermembrane space,cytosol,perinuclear region of cytoplasm",";response to ischemia,apoptotic process,activation of cysteine-type endopeptidase activity involved in apoptotic process,response to oxidative stress,apoptotic mitochondrial changes,response to toxic substance,positive regulation of cell death,respiratory electron transport chain,neuron differentiation,mitochondrial respiratory chain complex I assembly,positive regulation of apoptotic process,positive regulation of neuron apoptotic process,neuron apoptotic process,intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress,cellular response to hydrogen peroxide,cellular response to estradiol stimulus,cellular response to nitric oxide,cellular response to oxygen-glucose deprivation,response to L-glutamate,regulation of apoptotic DNA fragmentation,cellular response to aldosterone",";DNA binding,electron-transferring-flavoprotein dehydrogenase activity,protein binding,NAD(P)H oxidase activity,oxidoreductase activity, acting on NAD(P)H,protein dimerization activity,FAD binding",2.36E-51,35,31,33,28,34,34,29,32,35,31,33,28,34,34,29,32,1500.487305,626.6257324,1559.512451,754.7647705,1513.1604,1380.292114,420.020813,650.3219604
Mospd2,Motile sperm domain-containing protein 2;Motile sperm domain-containing protein 2;Isoform 2 of Motile sperm domain-containing protein 2;Isoform 3 of Motile sperm domain-containing protein 2,B1AU74;Q9CWP6;Q9CWP6-2;Q9CWP6-3,";integral component of plasma membrane,membrane;;",";chemotaxis,positive regulation of neutrophil chemotaxis,positive regulation of monocyte chemotaxis;;",;molecular_function;;,1.43E-27,3,3,1,2,1,2,3,3,3,3,1,2,0,2,3,3,6.02985096,8.22915554,1.086862326,4.308747768,NaN,1.550302505,9.445701599,9.94570446
Nasp,Nuclear autoantigenic sperm protein,B1AU75;Q99MD9,";nuclear chromatin,nucleus,nucleoplasm,cytoplasm,protein complex",";blastocyst development,DNA replication,nucleosome assembly,DNA replication-dependent nucleosome assembly,DNA replication-independent nucleosome assembly,cell cycle,cell proliferation,protein transport,histone exchange",";protein binding,protein complex binding,histone binding,Hsp90 protein binding",4.19E-15,1,6,4,6,4,5,6,6,1,6,4,6,4,5,6,6,60.6131134,93.99995422,44.81374359,181.6860199,19.80983543,47.87641907,128.5877533,102.3530197
Eif2b3,MCG14442,B1AUN2,"cytoplasm,eukaryotic translation initiation factor 2B complex","translational initiation,response to heat,response to glucose,oligodendrocyte development,hippocampus development,response to peptide hormone,positive regulation of GTPase activity,cellular response to stimulus","nucleotidyltransferase activity,translation initiation factor activity,guanyl-nucleotide exchange factor activity,translation factor activity, RNA binding",9.97E-21,6,7,4,4,6,5,7,5,6,7,4,4,6,5,7,5,16.58351135,29.13641357,14.54789925,29.46681595,11.4334116,23.13747978,30.29601479,22.98728752
Cetn2,Centrin-2 (Fragment);Centrin-2;Centrin-2,B1AUQ7;Q9R1K9;Z4YJH1,";intracellular,centrosome,centriole,cilium,photoreceptor connecting cilium,ciliary basal body,XPC complex;",";nucleotide-excision repair,centriole replication,spermatogenesis,regulation of cytokinesis,cell division;",";calcium ion binding,microtubule binding,G-protein beta/gamma-subunit complex binding,heterotrimeric G-protein binding;",0.000139659,1,1,1,1,Filtered,1,2,2,1,1,1,1,Filtered,1,2,2,5.694766045,6.866966724,10.93050957,5.003796101,Filtered,11.90497684,12.44516945,5.879785538
Hcfc1,Host cell factor 1,B1AUX2;Q61191,";histone acetyltransferase complex,nucleus,cytoplasm,membrane,axon,dendrite,neuronal cell body,Set1C/COMPASS complex,MLL1 complex,Ada2/Gcn5/Ada3 transcription activator complex,SAGA-type complex",";negative regulation of transcription from RNA polymerase II promoter,regulation of transcription, DNA-templated,transcription from RNA polymerase II promoter,cell cycle,positive regulation of gene expression,release from viral latency,regulation of protein complex assembly,histone H4-K5 acetylation,histone H4-K8 acetylation,histone H4-K16 acetylation,positive regulation of transcription from RNA polymerase II promoter,protein stabilization,cellular response to organic cyclic compound",";transcriptional activator activity, RNA polymerase II distal enhancer sequence-specific binding,chromatin binding,transcription coactivator activity,protein binding,activating transcription factor binding,identical protein binding,cadherin binding,histone acetyltransferase activity (H4-K5 specific),histone acetyltransferase activity (H4-K8 specific),histone acetyltransferase activity (H4-K16 specific)",5.03E-22,5,5,3,7,7,6,6,8,5,5,3,7,7,6,6,8,15.11254311,31.22382164,12.93629265,23.61684227,8.661921501,9.649796486,34.80683899,22.72591782
Naa10,N-alpha-acetyltransferase 10,B1AUY7;Q9QY36,";intracellular,nucleus,nucleolus,cytoplasm,cytosol,membrane,cytosolic ribosome,NatA complex",";protein acetylation,N-terminal protein amino acid acetylation,internal protein amino acid acetylation,N-terminal peptidyl-serine acetylation,N-terminal peptidyl-glutamic acid acetylation,negative regulation of maintenance of mitotic sister chromatid cohesion, centromeric",";peptide alpha-N-acetyltransferase activity,protein binding,N-acetyltransferase activity,peptide-serine-N-acetyltransferase activity,peptide-glutamate-N-acetyltransferase activity,acetyltransferase activity,ribosome binding",7.12E-13,2,3,2,2,1,1,4,4,2,3,2,2,1,1,4,4,6.715258121,9.635944366,6.707993031,14.5212307,4.028835773,3.51683712,12.14505005,10.81851959
Uprt,Uracil phosphoribosyltransferase homolog,B1AVZ0,"nucleus,cytosol","pyrimidine nucleobase metabolic process,UMP biosynthetic process,female pregnancy,lactation,response to insulin,pyrimidine nucleoside salvage","uridine kinase activity,GTP binding",1.02E-12,2,2,1,1,2,1,2,2,2,2,0,0,2,0,2,2,1.647611141,1.624541879,NaN,NaN,1.436641455,NaN,3.884614468,1.505804181
Clta,Clathrin light chain A,B1AWE0;Q6PFA2,;,;,;,1.08E-24,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,678.1325073,743.7025146,680.906311,548.8122559,576.0975952,686.3659058,676.7033081,727.9866333
Rragd;Rragd;Rragd;Rragc,"Ras-related GTP binding D, isoform CRA_a;Ras-related GTP-binding protein D;Ras-related GTP-binding protein D;Ras-related GTP-binding protein C",B1AWT2;B1AWT3;Q7TT45;Q99K70,";;nucleus,nucleoplasm,cytoplasm,lysosome,centrosome,EGO complex,Gtr1-Gtr2 GTPase complex;nucleus,cytoplasm,lysosome,EGO complex,intracellular membrane-bounded organelle,Gtr1-Gtr2 GTPase complex",";;cellular response to starvation,regulation of autophagy,positive regulation of TOR signaling,cellular response to amino acid stimulus,cellular response to leucine,positive regulation of TORC1 signaling,cellular response to leucine starvation;cellular response to starvation,regulation of autophagy,regulation of TOR signaling,positive regulation of TOR signaling,cellular response to amino acid starvation,response to amino acid,cellular response to amino acid stimulus,regulation of TORC1 signaling",";;GTPase activity,GTP binding,GDP binding,protein heterodimerization activity,GTPase binding;GTPase activity,GTP binding,GDP binding,protein heterodimerization activity,GTPase binding",1.95E-24,3,5,4,4,4,4,5,4,3,5,4,4,4,4,5,4,32.09152603,38.10519409,50.54840088,59.88713837,47.40365219,38.16639328,53.41387558,37.90444565
Nipsnap3b,Protein NipSnap homolog 3B,B1AWZ5;Q9CQE1,";nucleus,mitochondrion,cytosol",;biological_process,;molecular_function,4.17E-26,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,23.40759277,11.33112526,25.12880135,12.88510418,7.387524128,7.281493664,14.09750366,8.444913864
Chchd7,Coiled-coil-helix-coiled-coil-helix domain-containing protein 7;Coiled-coil-helix-coiled-coil-helix domain-containing protein 7 (Fragment);Coiled-coil-helix-coiled-coil-helix domain-containing protein 7 (Fragment);Coiled-coil-helix-coiled-coil-helix domain-containing protein 7;Coiled-coil-helix-coiled-coil-helix domain-containing protein 7,B1AXC5;B1AXC7;B1AXC8;Q3TFT3;Q8K2Q5,";;;;mitochondrion,mitochondrial intermembrane space",;;;;biological_process,;;;;molecular_function,1.13E-40,2,1,2,2,2,2,1,1,2,1,2,2,2,2,1,1,30.85869789,9.907213211,29.31423759,35.69127274,31.05699158,31.2967453,7.871528625,10.93188286
Rps6ka3,Ribosomal protein S6 kinase alpha-3,B1AXN9;P18654,";nucleus,cytoplasm",";toll-like receptor signaling pathway,protein phosphorylation,apoptotic process,cell cycle,response to lipopolysaccharide,intracellular signal transduction,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,positive regulation of transcription from RNA polymerase II promoter",";magnesium ion binding,protein serine/threonine kinase activity,protein binding,ATP binding,protein kinase binding,cysteine-type endopeptidase inhibitor activity involved in apoptotic process",3.71E-28,2,5,3,6,4,5,7,6,2,5,3,6,4,5,7,6,26.64685059,50.67378998,25.33609009,42.9067421,20.18856812,18.23376656,49.91215897,24.31459045
Usp24,Ubiquitin carboxyl-terminal hydrolase 24,B1AY13;E9PV45,;,"ubiquitin-dependent protein catabolic process,protein deubiquitination;",thiol-dependent ubiquitinyl hydrolase activity;,5.91E-12,8,7,6,3,7,6,8,8,8,7,6,3,7,6,8,8,4.198217869,4.407975674,3.17510581,2.131278276,3.591717243,2.657120466,4.086602211,1.385233045
Plxdc2,Plexin domain-containing protein 2,B1AY85;Q9DC11,";plasma membrane,integral component of membrane,extracellular exosome",;,;,1.87E-09,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,22.3502388,21.09299088,31.13184357,74.6934433,14.78405952,9.329023361,11.16158581,12.52034378
Chmp6,Charged multivesicular body protein 6 (Fragment);Charged multivesicular body protein 6,B1AZ42;P0C0A3,";ESCRT III complex,endosome membrane,membrane,late endosome membrane,extracellular exosome",";cell separation after cytokinesis,nucleus organization,vacuolar transport,mitotic metaphase plate congression,negative regulation of epidermal growth factor-activated receptor activity,protein transport,viral budding via host ESCRT complex",";protein complex binding,protein N-terminus binding",1.94E-23,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,16.40854836,3.347185135,13.0575428,3.636992455,4.049907684,12.22326183,3.653951406,3.693477154
Baiap2,Brain-specific angiogenesis inhibitor 1-associated protein 2;Brain-specific angiogenesis inhibitor 1-associated protein 2;Isoform 2 of Brain-specific angiogenesis inhibitor 1-associated protein 2;Isoform 3 of Brain-specific angiogenesis inhibitor 1-associated protein 2,B1AZ46;Q8BKX1;Q8BKX1-2;Q8BKX1-3,";ruffle,rough endoplasmic reticulum,Golgi apparatus,cytosol,microtubule,plasma membrane,cell-cell adherens junction,postsynaptic density,actin cytoskeleton,secretory granule,filopodium,neuron projection,neuronal cell body,dendritic shaft,neuron projection terminus,excitatory synapse,Requires Ontology,extracellular exosome,synaptic membrane,presynapse;;",";plasma membrane organization,Rho protein signal transduction,brain development,insulin receptor signaling pathway,regulation of cell shape,response to bacterium,dendrite development,positive regulation of actin filament polymerization,regulation of actin cytoskeleton organization,protein localization to synapse,regulation of synaptic plasticity,actin filament bundle assembly,actin crosslink formation,positive regulation of dendritic spine morphogenesis,cellular response to epidermal growth factor stimulus,cell-cell adhesion,cellular response to L-glutamate,positive regulation of actin cytoskeleton reorganization,positive regulation of excitatory postsynaptic potential;;",";transcription cofactor binding,protein binding,cytoskeletal adaptor activity,PDZ domain binding,identical protein binding,proline-rich region binding,scaffold protein binding,cadherin binding involved in cell-cell adhesion;;",5.87E-26,6,7,8,6,9,7,8,9,6,7,8,6,9,7,8,9,8.258664131,8.060072899,8.144931793,8.42725563,12.31020927,6.365193367,9.650107384,8.957234383
