"","PG.Genes","PG.ProteinDescriptions","PG.UniProtIds","PG.ProteinNames","PG.CellularComponent","PG.BiologicalProcess","PG.MolecularFunction","PG.Qvalue","X.1..22_0518_009_SSL2_ND_Non_23_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.2..22_0518_010_SSL2_ND_Non_27_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.3..22_0518_011_SSL2_ND_Non_24_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.4..22_0518_014_SSL2_ND_Non_29_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.5..22_0518_015_SSL2_ND_Non_26_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.6..22_0518_016_SSL2_ND_Non_30_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.7..22_0519_001_SSL2_ND_Non_28_DIA_02.wiff.PG.NrOfPrecursorsIdentified","X.8..22_0519_002_SSL2_ND_Non_25_DIA_02.wiff.PG.NrOfPrecursorsIdentified","X.1..22_0518_009_SSL2_ND_Non_23_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.2..22_0518_010_SSL2_ND_Non_27_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.3..22_0518_011_SSL2_ND_Non_24_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.4..22_0518_014_SSL2_ND_Non_29_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.5..22_0518_015_SSL2_ND_Non_26_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.6..22_0518_016_SSL2_ND_Non_30_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.7..22_0519_001_SSL2_ND_Non_28_DIA_02.wiff.PG.NrOfPrecursorsUsedForQuantification","X.8..22_0519_002_SSL2_ND_Non_25_DIA_02.wiff.PG.NrOfPrecursorsUsedForQuantification","X.1..22_0518_009_SSL2_ND_Non_23_DIA_01.wiff.PG.Quantity","X.2..22_0518_010_SSL2_ND_Non_27_DIA_01.wiff.PG.Quantity","X.3..22_0518_011_SSL2_ND_Non_24_DIA_01.wiff.PG.Quantity","X.4..22_0518_014_SSL2_ND_Non_29_DIA_01.wiff.PG.Quantity","X.5..22_0518_015_SSL2_ND_Non_26_DIA_01.wiff.PG.Quantity","X.6..22_0518_016_SSL2_ND_Non_30_DIA_01.wiff.PG.Quantity","X.7..22_0519_001_SSL2_ND_Non_28_DIA_02.wiff.PG.Quantity","X.8..22_0519_002_SSL2_ND_Non_25_DIA_02.wiff.PG.Quantity"
"716","pfdn6","Prefoldin subunit 6","G3UYF9;Q03958","G3UYF9_MOUSE;PFD6_MOUSE",";nucleus,cytoplasm,prefoldin complex",";protein folding,chaperone-mediated protein complex assembly",";protein binding,unfolded protein binding,chaperone binding",3.35e-13,"Filtered","2","1","3","Filtered","3","Filtered","Filtered","Filtered","2","1","3","Filtered","3","Filtered","Filtered","Filtered","4.591685295","0.973086596","5.819697857","Filtered","6.462619781","Filtered","Filtered"
"717","gigyf2","PERQ amino acid-rich with GYF domain-containing protein 2","G3UYG6;Q6Y7W8","G3UYG6_MOUSE;PERQ2_MOUSE",";cytoplasm,endosome,endoplasmic reticulum,Golgi apparatus,cytosol,cytoplasmic stress granule,membrane,integral component of membrane,vesicle,perikaryon,protein complex,proximal dendrite",";feeding behavior,adult locomotory behavior,post-embryonic development,posttranscriptional gene silencing,negative regulation of translation,spinal cord motor neuron differentiation,mitotic G1 DNA damage checkpoint,multicellular organism growth,cellular protein metabolic process,insulin-like growth factor receptor signaling pathway,homeostasis of number of cells within a tissue,musculoskeletal movement,neuromuscular process controlling balance,mRNA destabilization",";RNA binding,protein binding,cadherin binding,proline-rich region binding",6.56e-07,"Filtered","1","Filtered","1","Filtered","2","Filtered","Filtered","Filtered","1","Filtered","0","Filtered","2","Filtered","Filtered","Filtered","1.961607933","Filtered","NaN","Filtered","1.303358316","Filtered","Filtered"
"718","gm20441","Protein Gm20441 (Fragment)","G3UYJ7","G3UYJ7_MOUSE","cytoplasm","glutathione metabolic process","glutathione transferase activity",1.65e-42,"12","12","12","11","12","12","5","12","12","12","12","11","12","12","5","12","942.9382935","577.5966187","1074.658081","425.2319946","832.9078979","477.0897522","105.6957703","935.5452881"
"719","rps28","40S ribosomal protein S28 (Fragment);40S ribosomal protein S28","G3UYV7;P62858","G3UYV7_MOUSE;RS28_MOUSE",";small ribosomal subunit,cytosolic small ribosomal subunit,extracellular exosome",";ribosomal small subunit assembly,rRNA processing,translation,maturation of SSU-rRNA,ribosome biogenesis,ribosomal small subunit biogenesis",";RNA binding,structural constituent of ribosome",2.78e-15,"3","4","3","3","3","4","2","2","3","4","3","3","3","4","2","2","413.2706299","657.2375488","421.308136","586.7723999","422.304718","687.850647","440","397.0540161"
"720","ube2i","SUMO-conjugating enzyme;SUMO-conjugating enzyme UBC9","G3UZL6;P63280","G3UZL6_MOUSE;UBC9_MOUSE",";nucleus,nucleoplasm,cytoplasm,cytosol,nuclear body,PML body,transferase complex,sumoylated E2 ligase complex",";negative regulation of transcription from RNA polymerase II promoter,cellular protein modification process,cell cycle,chromosome segregation,multicellular organism development,viral process,protein sumoylation,positive regulation of I-kappaB kinase/NF-kappaB signaling,negative regulation of transcription, DNA-templated,cell division,positive regulation of SUMO transferase activity",";RNA binding,protein binding,ATP binding,transcription factor binding,SUMO transferase activity,enzyme binding,HLH domain binding,small protein activating enzyme binding,SUMO conjugating enzyme activity,RING-like zinc finger domain binding,ubiquitin protein ligase binding,ubiquitin protein ligase activity",0.003653846,"Filtered","1","Filtered","1","Filtered","2","1","Filtered","Filtered","0","Filtered","1","Filtered","2","1","Filtered","Filtered","NaN","Filtered","1.670672297","Filtered","1.266263604","2.22197032","Filtered"
"721","txn2","Thioredoxin, mitochondrial (Fragment);Thioredoxin, mitochondrial","G3UZY2;P97493","G3UZY2_MOUSE;THIOM_MOUSE",";nucleolus,mitochondrion,dendrite,neuronal cell body",";response to hypoxia,glycerol ether metabolic process,response to oxidative stress,response to nutrient,response to hormone,response to glucose,response to organic cyclic compound,cellular response to nutrient levels,response to drug,cell redox homeostasis,response to axon injury,oxidation-reduction process",";peptide-methionine (S)-S-oxide reductase activity,protein disulfide oxidoreductase activity,protein complex binding,peptide-methionine (R)-S-oxide reductase activity",4.86e-14,"4","4","4","4","4","4","3","4","4","4","4","4","4","4","3","4","34.55083084","21.69719315","34.69827652","21.83629036","26.6940403","17.76614189","6.664229393","26.98449898"
"722","reep5","Receptor expression-enhancing protein","G3X8R0","G3X8R0_MOUSE","","","",4.96e-05,"2","1","1","1","1","1","Filtered","2","2","1","1","1","1","1","Filtered","2","20.91914558","16.00575447","35.03225327","22.040905","22.74566841","29.99794197","Filtered","26.09463882"
"723","ctsa","Carboxypeptidase;Lysosomal protective protein","G3X8T3;P16675","G3X8T3_MOUSE;PPGB_MOUSE",";nucleoplasm,mitochondrion,lysosome,membrane,intracellular membrane-bounded organelle,extracellular exosome",";proteolysis,regulation of protein stability,proteolysis involved in cellular protein catabolic process,negative regulation of chaperone-mediated autophagy",";serine-type carboxypeptidase activity,protein binding",2.24e-65,"10","13","9","12","12","14","10","11","10","13","9","12","12","14","10","11","79.71600342","84.25892639","74.52266693","123.1951447","94.49746704","101.4229507","89.82408142","66.27438354"
"724","serpina3n","Serine (Or cysteine) peptidase inhibitor, clade A, member 3N, isoform CRA_a","G3X8T9","G3X8T9_MOUSE","","","",3.04e-30,"9","19","8","23","6","22","25","6","9","19","8","23","6","22","25","6","40.57307816","89.9721756","36.18980408","144.8956909","50.62062073","146.935318","760.0997925","57.86798096"
"725","2210016f16rik","MCG6895","G3X8U3","G3X8U3_MOUSE","cellular_component","tRNA modification","molecular_function",5.85e-13,"2","3","3","4","1","5","2","2","2","3","3","4","1","5","2","2","21.64550018","22.2497406","16.1958847","35.72353745","27.38789558","28.44473076","18.09515572","12.79183865"
"726","vps16","Vacuolar protein sorting 16 (Yeast);Vacuolar protein sorting-associated protein 16 homolog","G3X8X7;Q920Q4","G3X8X7_MOUSE;VPS16_MOUSE",";lysosome,lysosomal membrane,early endosome,late endosome,autophagosome,actin filament,clathrin-coated vesicle,HOPS complex,early endosome membrane,late endosome membrane,CORVET complex,recycling endosome,AP-3 adaptor complex",";intracellular protein transport,vacuole organization,endosome to lysosome transport,endosomal transport,regulation of vacuole fusion, non-autophagic,regulation of SNARE complex assembly,viral entry into host cell,autophagosome maturation",";actin binding,protein binding",0.0030976,"1","2","Filtered","3","Filtered","4","Filtered","Filtered","1","2","Filtered","3","Filtered","4","Filtered","Filtered","6.090828896","7.958155155","Filtered","7.051331997","Filtered","7.512767792","Filtered","Filtered"
"727","dnajc13","MCG115602","G3X922","G3X922_MOUSE","","","",6.27e-39,"25","21","25","20","20","31","19","20","25","21","25","20","20","31","19","20","43.85155487","46.69589615","51.27044678","49.0906105","57.41056824","47.00064087","62.25736618","47.21068192"
"728","sec23ip","SEC23-interacting protein","G3X928","G3X928_MOUSE","","","",3.02e-17,"4","6","3","6","5","7","4","3","4","6","3","6","5","7","4","3","24.87306023","28.43889236","25.2820797","20.69899178","22.62463379","24.23805618","15.21484566","23.18521881"
"729","slc9a3","Sodium/hydrogen exchanger 3","G3X939","SL9A3_MOUSE","plasma membrane,integral component of membrane,apical plasma membrane,brush border membrane,vesicle,extracellular exosome","sodium ion transport,regulation of pH,regulation of intracellular pH,potassium ion transmembrane transport,sodium ion import across plasma membrane,hydrogen ion transmembrane transport","sodium:proton antiporter activity,potassium:proton antiporter activity,PDZ domain binding",5.65e-17,"2","2","3","2","2","3","Filtered","2","2","2","3","2","2","3","Filtered","2","51.86084366","8.952711105","29.17185593","4.759819984","20.45276642","5.799246311","Filtered","40.40703583"
"730","supt16;supt16h","FACT complex subunit SPT16","G3X956;Q920B9","G3X956_MOUSE;SP16H_MOUSE",";nucleus,chromosome,FACT complex",";DNA replication,DNA repair,transcription elongation from RNA polymerase II promoter,positive regulation of transcription elongation from RNA polymerase II promoter,DNA replication-independent nucleosome organization",";RNA binding,nucleosome binding,histone binding",7.63e-05,"1","3","2","4","2","6","3","Filtered","1","3","2","4","2","6","3","Filtered","24.9630661","18.84933662","7.044026375","23.39555359","26.11643028","29.39634705","22.08635139","Filtered"
"731","sec24c","Protein Sec24c","G3X972","G3X972_MOUSE","Golgi membrane,cytosol,COPII vesicle coat","in utero embryonic development,intracellular protein transport,ER to Golgi vesicle-mediated transport,cargo loading into COPII-coated vesicle","SNARE binding,zinc ion binding",8.61e-29,"12","10","9","9","12","11","5","6","12","10","9","9","12","11","5","6","55.30372238","56.53640747","49.41614914","64.48641968","52.26056671","65.19364166","59.91122055","52.65499115"
"732","stab1","Stabilin 1, isoform CRA_a","G3X973","G3X973_MOUSE","","","",0.000130787,"Filtered","2","Filtered","1","Filtered","2","1","Filtered","Filtered","2","Filtered","0","Filtered","2","1","Filtered","Filtered","3.22740674","Filtered","NaN","Filtered","1.935673356","2.39365077","Filtered"
"733","itih2","Inter-alpha trypsin inhibitor, heavy chain 2;Inter-alpha-trypsin inhibitor heavy chain H2","G3X977;Q61703","G3X977_MOUSE;ITIH2_MOUSE",";extracellular space,extracellular exosome,blood microparticle",";negative regulation of endopeptidase activity,hyaluronan metabolic process",";serine-type endopeptidase inhibitor activity",3.82e-70,"4","4","4","4","6","7","11","2","4","4","4","4","6","7","11","2","16.61923218","15.58491611","11.17209911","16.02057457","17.28533363","18.26450157","99.67542267","16.14173889"
"734","apon","Apolipoprotein N, isoform CRA_a","G3X9D6","G3X9D6_MOUSE","extracellular space,cytoplasm","biological_process","molecular_function",0.00230578,"Filtered","Filtered","Filtered","Filtered","Filtered","1","2","Filtered","Filtered","Filtered","Filtered","Filtered","Filtered","1","2","Filtered","Filtered","Filtered","Filtered","Filtered","Filtered","264.6133118","168.8617859","Filtered"
"735","arfgef1","Brefeldin A-inhibited guanine nucleotide-exchange protein 1","G3X9K3","BIG1_MOUSE","Golgi membrane,nucleoplasm,nucleolus,Golgi apparatus,trans-Golgi network,cytosol,nuclear matrix,small nuclear ribonucleoprotein complex,perinuclear region of cytoplasm","Golgi organization,endomembrane system organization,protein transport,vesicle-mediated transport,negative regulation of actin filament polymerization,neuron projection development,regulation of ARF protein signal transduction,negative regulation of GTPase activity,positive regulation of GTPase activity,positive regulation of protein kinase B signaling,positive regulation of protein glycosylation in Golgi,positive regulation of wound healing,regulation of establishment of cell polarity","guanyl-nucleotide exchange factor activity,ARF guanyl-nucleotide exchange factor activity,myosin binding,protein kinase A regulatory subunit binding",6.16e-14,"4","5","1","5","3","6","2","3","4","5","1","5","3","6","2","3","14.95452023","15.60314178","13.27677727","19.47315407","10.36840439","20.7690239","19.74009705","14.24149895"
"736","dap3","28S ribosomal protein S29, mitochondrial;28S ribosomal protein S29, mitochondrial","G3X9M0;Q9ER88","G3X9M0_MOUSE;RT29_MOUSE",";nucleoplasm,mitochondrion,mitochondrial matrix,mitochondrial small ribosomal subunit",";apoptotic mitochondrial changes",";RNA binding,structural constituent of ribosome",7.5e-19,"4","8","4","4","4","6","1","5","4","8","4","4","4","6","1","5","56.00525665","37.34608459","52.91293335","31.61552048","30.00972366","21.3760643","29.78942108","49.68586349"
"737","akr1c19","Aldo-keto reductase family 1, member C19","G3X9Y6","G3X9Y6_MOUSE","cellular_component","biological_process,oxidation-reduction process","molecular_function,oxidoreductase activity",4.29e-21,"3","5","3","3","3","1","1","1","3","5","3","3","3","1","1","1","140.7946167","90.3318634","155.0325775","95.9146347","137.849762","47.17183685","25.89766312","138.8583527"
"738","idi1","Isopentenyl-diphosphate Delta-isomerase 1","G3XA48;P58044","G3XA48_MOUSE;IDI1_MOUSE",";mitochondrion,peroxisome",";cholesterol biosynthetic process,isoprenoid biosynthetic process,isopentenyl diphosphate biosynthetic process,response to stilbenoid,dimethylallyl diphosphate biosynthetic process",";magnesium ion binding,isopentenyl-diphosphate delta-isomerase activity,hydrolase activity,manganese ion binding",2.36e-24,"7","5","7","6","8","4","2","6","7","5","7","6","8","4","2","6","135.0877991","44.3162384","116.6662674","36.90227127","101.8942032","43.40422058","23.52453613","123.7684784"
"739","ndufa11","MCG5603","G5E814","G5E814_MOUSE","","","",1.8e-16,"7","8","7","6","6","5","5","7","7","8","7","6","6","5","5","7","90.54837799","54.69828033","98.90587616","28.2086544","50.29051971","23.92559624","43.63201523","75.81803131"
"740","atp2b1","Plasma membrane calcium-transporting ATPase 1","G5E829","AT2B1_MOUSE","nucleus,plasma membrane,integral component of plasma membrane,cytoplasmic side of plasma membrane,membrane,basolateral plasma membrane,apical plasma membrane,cell junction,dendritic spine membrane,neuronal cell body membrane,intracellular membrane-bounded organelle,membrane raft,extracellular exosome","neural retina development,calcium ion transport,cellular calcium ion homeostasis,brain development,aging,response to cold,regulation of cytosolic calcium ion concentration,calcium ion transmembrane transport,cellular response to vitamin D,cellular response to corticosterone stimulus,Requires Ontology,calcium ion export from cell","calcium-transporting ATPase activity,protein binding,calmodulin binding,ATP binding,calcium ion transmembrane transporter activity,PDZ domain binding,metal ion binding",3.82e-76,"8","12","12","12","8","13","5","10","8","12","12","12","8","13","5","10","22.07170868","36.4738884","26.26634598","26.65453148","25.75127411","24.28747559","35.72170639","21.49064255"
"741","cyb5a","Cytochrome b-5, isoform CRA_a;Cytochrome b5","G5E850;P56395","G5E850_MOUSE;CYB5_MOUSE",";mitochondrion,endoplasmic reticulum membrane,cytosol,membrane,integral component of membrane,organelle membrane,intracellular membrane-bounded organelle,extracellular exosome",";fatty acid metabolic process,response to cadmium ion,oxidation-reduction process",";stearoyl-CoA 9-desaturase activity,enzyme binding,heme binding,metal ion binding",1.05e-22,"9","9","9","9","9","8","7","9","9","9","9","9","9","8","7","9","1547.326904","829.6075439","1573.708496","875.2761841","1613.637451","569.4456787","299.2489624","1469.863403"
"742","sf3b1","Splicing factor 3B subunit 1","G5E866;Q99NB9","G5E866_MOUSE;SF3B1_MOUSE",";chromatin,nucleus,U2 snRNP,U12-type spliceosomal complex,nuclear matrix,nuclear speck,small nuclear ribonucleoprotein complex,U11/U12 snRNP,U2-type prespliceosome,catalytic step 2 spliceosome",";spliceosomal complex assembly,mRNA splicing, via spliceosome,blastocyst formation,anterior/posterior pattern specification",";chromatin binding,RNA binding,mRNA binding,protein binding",6.49e-37,"11","18","10","14","8","20","12","10","11","18","10","14","8","20","12","10","26.80745125","51.63873672","26.03174591","64.15803528","34.66519928","67.62561798","52.02539825","31.53475571"
"743","tamm41","Phosphatidate cytidylyltransferase, mitochondrial;Phosphatidate cytidylyltransferase, mitochondrial","G5E881;Q3TUH1","G5E881_MOUSE;TAM41_MOUSE",";mitochondrion,extrinsic component of mitochondrial inner membrane",";biological_process,CDP-diacylglycerol biosynthetic process,cardiolipin biosynthetic process",";molecular_function,phosphatidate cytidylyltransferase activity",0.003235434,"Filtered","1","1","2","Filtered","1","Filtered","2","Filtered","1","1","2","Filtered","1","Filtered","2","Filtered","7.457649231","13.67213154","4.240716934","Filtered","4.899413109","Filtered","6.393457413"
"744","pak1","Serine/threonine-protein kinase PAK 1","G5E884","G5E884_MOUSE","","","",2.13e-13,"4","7","2","8","5","9","5","5","4","7","2","8","5","9","5","5","25.68567085","47.07287979","27.64950562","51.81946945","36.8662796","59.20468521","31.74074745","21.83616257"
"745","slc17a3","Protein Slc17a3","G5E894","G5E894_MOUSE","cytoplasm,endoplasmic reticulum membrane,integral component of plasma membrane,apical plasma membrane,perinuclear region of cytoplasm","drug transmembrane transport,organic anion transport,urate transport,drug transport,phosphate ion transmembrane transport,sodium ion transmembrane transport,urate metabolic process,toxin transport,organic acid transmembrane transport,regulation of anion transmembrane transport","sodium:phosphate symporter activity,voltage-gated anion channel activity,organic anion transmembrane transporter activity,urate transmembrane transporter activity,drug transmembrane transporter activity,efflux transmembrane transporter activity,toxin transporter activity",3.47e-24,"4","4","3","1","3","4","1","4","4","4","3","1","3","4","1","4","69.89260101","43.33174515","91.92624664","28.27546883","58.33229065","12.72219467","50.65750122","64.60325623"
