"","PG.BiologicalProcess","PG.CellularComponent","PG.Genes","PG.MolecularFunction","PG.ProteinDescriptions","PG.ProteinNames","PG.Qvalue","PG.UniProtIds","X.1..22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified","X.2..22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified","X.3..22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified","X.4..22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsIdentified","X.1..22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.2..22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.3..22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.4..22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsUsedForQuantification","X.1..22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.Quantity","X.2..22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.Quantity","X.3..22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.Quantity","X.4..22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.Quantity"
"415",";;;;ion transport,regulation of ion transmembrane transport,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator,negative regulation of cell death,cellular response to gamma radiation",";;;;nuclear outer membrane,endoplasmic reticulum,integral component of membrane,nuclear membrane,sarcoplasmic reticulum membrane,extracellular exosome","tmem109",";;;;voltage-gated ion channel activity,protein binding","Transmembrane protein 109;Transmembrane protein 109 (Fragment);Transmembrane protein 109 (Fragment);Transmembrane protein 109 (Fragment);Transmembrane protein 109","D3YX08_MOUSE;D3Z0I8_MOUSE;D3Z3Z2_MOUSE;D3Z7P2_MOUSE;TM109_MOUSE",2.6e-21,"D3YX08;D3Z0I8;D3Z3Z2;D3Z7P2;Q3UBX0",2,2,2,2,2,2,2,2,55.21224213,91.11363983,122.4268341,114.2772064
"416",";proteolysis,ceramide metabolic process,mitochondrion organization,aging,adult walking behavior,adult locomotory behavior,intrinsic apoptotic signaling pathway in response to DNA damage,response to herbicide,positive regulation of mitochondrion organization,positive regulation of cell death,pentacyclic triterpenoid metabolic process,forebrain development,cellular response to oxidative stress,cellular response to heat,cellular response to interferon-beta,regulation of multicellular organism growth,positive regulation of apoptotic process,positive regulation of cysteine-type endopeptidase activity involved in apoptotic process,cellular protein catabolic process,neuron development,negative regulation of cell death,protein homotrimerization,cellular response to retinoic acid,cellular response to growth factor stimulus,intrinsic apoptotic signaling pathway,positive regulation of protein targeting to mitochondrion,negative regulation of mitophagy in response to mitochondrial depolarization,positive regulation of extrinsic apoptotic signaling pathway in absence of ligand,positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway",";chromatin,nucleus,mitochondrion,mitochondrial intermembrane space,cytosol,cytoskeleton,cytoplasmic side of plasma membrane,membrane,mitochondrial membrane,CD40 receptor complex,serine-type endopeptidase complex","htra2",";serine-type endopeptidase activity,protein binding,peptidase activity,serine-type peptidase activity,identical protein binding","Serine protease HTRA2, mitochondrial;Serine protease HTRA2, mitochondrial","D3YX27_MOUSE;HTRA2_MOUSE",4.04e-41,"D3YX27;Q9JIY5",6,5,6,6,6,6,6,6,190.8851013,277.3595276,150.7314148,198.6788788
"417","cellular sodium ion homeostasis,immune response","membrane attack complex,extracellular exosome","c7","","Oxidation resistance protein 1","D3YXF5_MOUSE",1.79e-39,"D3YXF5",13,18,16,9,8,8,8,8,155.9865265,1577.0802,240.6515198,123.8638153
"418","transcription, DNA-templated,intracellular estrogen receptor signaling pathway,growth,hormone metabolic process,positive regulation of transcription from RNA polymerase II promoter,regulation of mRNA processing;","nucleus,nucleoplasm;","safb","core promoter binding,chromatin binding,double-stranded DNA binding,RNA binding,protein binding,sequence-specific DNA binding;","Scaffold attachment factor B1","SAFB1_MOUSE;S4R1M2_MOUSE",1.03e-32,"D3YXK2;S4R1M2",9,6,9,9,7,7,7,7,294.4244385,217.0161591,343.5945129,251.6214752
"419",";microtubule-based movement,axo-dendritic transport;",";cytoplasm,cytosol,kinesin complex,microtubule,membrane,ciliary rootlet,neuron projection,protein complex;","klc2",";microtubule motor activity,protein binding,kinesin binding,cadherin binding;","Kinesin light chain 2","D3YXZ3_MOUSE;KLC2_MOUSE;Q91YS4_MOUSE",3.53e-09,"D3YXZ3;O88448;Q91YS4",2,1,2,2,2,2,2,2,26.65662575,11.10560036,38.75616074,26.96353912
"420",";hematopoietic progenitor cell differentiation,cytidine to uridine editing;",";nucleus;","rbm47",";RNA binding,protein binding;","RNA-binding protein 47;RNA-binding protein 47;Isoform 2 of RNA-binding protein 47","D3YXZ5_MOUSE;RBM47_MOUSE;RBM47_MOUSE",9.92e-37,"D3YXZ5;Q91WT8;Q91WT8-2",10,9,11,12,8,8,8,8,490.6178894,391.4755249,451.5170593,488.9316101
"421",";;negative regulation of transcription from RNA polymerase II promoter,transcription, DNA-templated",";;nucleus","drap1",";;DNA binding,transcription corepressor activity,protein binding,transcription factor binding,identical protein binding,protein heterodimerization activity","Dr1-associated corepressor","D3YY09_MOUSE;F6T9K1_MOUSE;NC2A_MOUSE",5.01e-22,"D3YY09;F6T9K1;Q9D6N5",2,2,2,3,3,3,3,3,19.65953064,65.57948303,49.14417267,40.02101135
"422",";;protein tetramerization,copper ion homeostasis",";;nucleus,nucleoplasm,nucleolus,cytoplasm,cytosol","cutc",";;copper ion binding","Copper homeostasis protein cutC homolog (Fragment);Copper homeostasis protein cutC homolog;Copper homeostasis protein cutC homolog","D3YY50_MOUSE;F8WHX2_MOUSE;CUTC_MOUSE",1.03e-19,"D3YY50;F8WHX2;Q9D8X1",5,4,5,5,5,5,5,5,67.00087738,35.01547623,71.9336853,35.83108902
"423",";",";","sap18;sap18b",";","Histone deacetylase complex subunit SAP18","D3YY55_MOUSE;E9Q317_MOUSE",1.17e-23,"D3YY55;E9Q317",1,1,2,1,2,2,2,2,13.17055702,23.58678436,26.1802578,11.0575285
"424",";;intracellular protein transport,Golgi to vacuole transport,retrograde transport, endosome to Golgi,retrograde transport, endosome to plasma membrane;",";;endosome,cytosol,endosome membrane,retromer complex,retromer, cargo-selective complex,intracellular membrane-bounded organelle,extracellular exosome;","vps29",";;protein binding,zinc ion binding,protein transporter activity;","Vacuolar protein sorting-associated protein 29 (Fragment);Vacuolar protein sorting-associated protein 29;Vacuolar protein sorting-associated protein 29;Isoform 2 of Vacuolar protein sorting-associated protein 29","D3YYD5_MOUSE;D3Z645_MOUSE;VPS29_MOUSE;VPS29_MOUSE",9.25e-35,"D3YYD5;D3Z645;Q9QZ88;Q9QZ88-2",9,8,9,9,9,9,9,9,1871.662598,1271.171631,1798.061401,1409.325806
"425",";;transcription, DNA-templated,regulation of transcription, DNA-templated,nucleocytoplasmic transport,regulation of apoptotic process,nucleosome assembly,histone exchange",";;nucleus,cytoplasm,endoplasmic reticulum,nuclear matrix,perinuclear region of cytoplasm","anp32a",";;protein binding,histone binding","Acidic leucine-rich nuclear phosphoprotein 32 family member A (Fragment);Acidic leucine-rich nuclear phosphoprotein 32 family member A;Acidic leucine-rich nuclear phosphoprotein 32 family member A","D3YYE1_MOUSE;D3Z7M9_MOUSE;AN32A_MOUSE",1.59e-47,"D3YYE1;D3Z7M9;O35381",13,12,13,12,9,9,9,9,3270.575439,3222.318115,3391.030029,3114.280518
"426","transcription, DNA-templated,regulation of transcription, DNA-templated,histone H3 deacetylation;negative regulation of transcription from RNA polymerase II promoter,chromatin silencing at rDNA,chromatin organization,methylation-dependent chromatin silencing,transcription, DNA-templated,protein deacetylation,endoderm development,circadian rhythm,positive regulation of cell proliferation,epidermal cell differentiation,negative regulation of gene expression,positive regulation of receptor biosynthetic process,histone deacetylation,hippocampus development,neuron differentiation,circadian regulation of gene expression,odontogenesis of dentin-containing tooth,embryonic digit morphogenesis,ATP-dependent chromatin remodeling,negative regulation of apoptotic process,negative regulation of I-kappaB kinase/NF-kappaB signaling,negative regulation by host of viral transcription,negative regulation of transcription, DNA-templated,positive regulation of transcription, DNA-templated,positive regulation of transcription from RNA polymerase II promoter,positive regulation of oligodendrocyte differentiation,negative regulation of androgen receptor signaling pathway,hair follicle placode formation,eyelid development in camera-type eye,fungiform papilla formation,histone H3 deacetylation,histone H4 deacetylation,negative regulation of canonical Wnt signaling pathway,negative regulation of intrinsic apoptotic signaling pathway","nucleus;histone deacetylase complex,chromatin,nuclear chromatin,heterochromatin,nucleus,nucleoplasm,transcription factor complex,cytoplasm,cytosol,Sin3 complex,NuRD complex,transcriptional repressor complex,neuronal cell body,protein complex","gm10093;hdac1","NAD-dependent histone deacetylase activity (H3-K14 specific),metal ion binding;transcription regulatory region sequence-specific DNA binding,core promoter sequence-specific DNA binding,core promoter binding,RNA polymerase II transcription factor binding,RNA polymerase II repressing transcription factor binding,RNA polymerase II transcription corepressor activity,p53 binding,DNA binding,chromatin binding,transcription factor activity, sequence-specific DNA binding,transcription corepressor activity,histone deacetylase activity,protein binding,transcription factor binding,deacetylase activity,enzyme binding,NAD-dependent histone deacetylase activity (H3-K14 specific),protein deacetylase activity,activating transcription factor binding,Krueppel-associated box domain binding,histone deacetylase binding,transcription regulatory region DNA binding,protein N-terminus binding,NF-kappaB binding,repressing transcription factor binding,promoter-specific chromatin binding,RNA polymerase II core promoter proximal region sequence-specific DNA binding,RNA polymerase II distal enhancer sequence-specific DNA binding,nucleosomal DNA binding","Histone deacetylase;Histone deacetylase 1","D3YYI8_MOUSE;HDAC1_MOUSE",3.32e-39,"D3YYI8;O09106",6,7,6,7,7,7,7,7,239.7584381,411.3999329,385.8095703,344.2889099
"427",";",";mitochondrion","abhd11",";hydrolase activity","Abhydrolase domain containing 11, isoform CRA_b;Protein ABHD11","D3YYK0_MOUSE;ABHDB_MOUSE",1.58e-51,"D3YYK0;Q8K4F5",5,5,5,4,6,6,6,6,374.0798035,252.350647,233.7944946,225.6458588
"428",";;cell cycle,cell division;",";;cytoplasm,microtubule plus-end;","mapre2",";;protein binding,microtubule binding,identical protein binding;","Microtubule-associated protein RP/EB family member 2 (Fragment);Microtubule-associated protein RP/EB family member 2;Microtubule-associated protein RP/EB family member 2;Isoform 2 of Microtubule-associated protein RP/EB family member 2","D3YYK8_MOUSE;E9Q6X0_MOUSE;MARE2_MOUSE;MARE2_MOUSE",9.09e-17,"D3YYK8;E9Q6X0;Q8R001;Q8R001-2",5,4,5,5,5,5,5,5,89.90782166,42.2196312,74.35088348,79.99560547
"429",";neurotransmitter uptake,regulation of the force of heart contraction,regulation of respiratory gaseous exchange by neurological system process,cellular sodium ion homeostasis,regulation of muscle contraction,regulation of smooth muscle contraction,regulation of striated muscle contraction,regulation of blood pressure,adult locomotory behavior,visual learning,potassium ion import,establishment or maintenance of transmembrane electrochemical gradient,ATP hydrolysis coupled proton transport,regulation of vasoconstriction,cellular potassium ion homeostasis,response to nicotine,sodium ion export from cell,locomotion,negative regulation of heart contraction,negative regulation of striated muscle contraction,ATP metabolic process,negative regulation of cytosolic calcium ion concentration,cellular response to mechanical stimulus,cellular response to steroid hormone stimulus,regulation of cardiac muscle cell contraction,negative regulation of calcium:sodium antiporter activity,response to glycoside",";cytoplasm,endosome,plasma membrane,sodium:potassium-exchanging ATPase complex,caveola,intercalated disc,membrane,T-tubule,sarcolemma,dendritic spine,myelin sheath,extracellular vesicle","atp1a2",";sodium:potassium-exchanging ATPase activity,protein binding,chaperone binding,steroid hormone binding,ATP binding,drug binding,ATPase activity,potassium ion binding,sodium ion binding","Sodium/potassium-transporting ATPase subunit alpha;Sodium/potassium-transporting ATPase subunit alpha-2","D3YYN7_MOUSE;AT1A2_MOUSE",1.93e-08,"D3YYN7;Q6PIE5",1,1,3,1,3,3,3,3,95.78572083,620.7808838,132.5437775,227.1334229
"430",";;nitric oxide biosynthetic process,transport,calcium ion transport,signal transduction,regulation of blood pressure,positive regulation of calcium ion transport into cytosol,negative regulation of cardiac muscle hypertrophy,response to ATP,ion transmembrane transport,response to fluid shear stress,purinergic nucleotide receptor signaling pathway,vasodilation,positive regulation of blood vessel endothelial cell migration,positive regulation of calcium-mediated signaling,membrane depolarization,regulation of cardiac muscle contraction,relaxation of cardiac muscle,excitatory postsynaptic potential,cellular response to ATP,apoptotic signaling pathway,cation transmembrane transport,positive regulation of endothelial cell chemotaxis;;;;;",";;integral component of nuclear inner membrane,lysosomal membrane,integral component of plasma membrane,membrane,cell junction,apical part of cell,perinuclear region of cytoplasm,extracellular exosome,postsynapse;;;;;","p2rx4",";;purinergic nucleotide receptor activity,extracellular ATP-gated cation channel activity,ATP binding,cadherin binding;;;;;","P2X purinoceptor 4;P2X purinoceptor;P2X purinoceptor 4;Isoform b of P2X purinoceptor 4;Isoform c of P2X purinoceptor 4;Isoform d of P2X purinoceptor 4;P2X purinoceptor;P2X purinoceptor","D3YYR5_MOUSE;D3Z5U5_MOUSE;P2RX4_MOUSE;P2RX4_MOUSE;P2RX4_MOUSE;P2RX4_MOUSE;Q9Z256_MOUSE;Q9Z257_MOUSE",7.66e-35,"D3YYR5;D3Z5U5;Q9JJX6;Q9JJX6-2;Q9JJX6-3;Q9JJX6-4;Q9Z256;Q9Z257",3,2,3,3,3,3,3,3,64.09329224,74.45038605,141.1989594,77.14887238
"431",";;fatty acid biosynthetic process,regulation of signal transduction,arachidonic acid metabolic process,triglyceride catabolic process,regulation of axon extension,acylglycerol catabolic process,regulation of inflammatory response,regulation of sensory perception of pain,long term synaptic depression,regulation of endocannabinoid signaling pathway",";;nucleoplasm,cytosol,extrinsic component of membrane,axon,varicosity,synapse","mgll",";;protein homodimerization activity,acylglycerol lipase activity","Monoglyceride lipase","D3YYS6_MOUSE;E9Q3B9_MOUSE;MGLL_MOUSE",1.01e-31,"D3YYS6;E9Q3B9;O35678",5,5,5,6,6,6,6,6,45.35397339,119.1359634,81.65961456,192.5447235
"432",";cell adhesion,homophilic cell adhesion via plasma membrane adhesion molecules,heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules,glial cell differentiation,calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules,cell migration,telencephalon development,cerebral cortex development,positive regulation of MAPK cascade,cell-cell adhesion mediated by cadherin,blood vessel morphogenesis,brain morphogenesis,homeostasis of number of cells,striated muscle cell differentiation,radial glial cell differentiation,neuroepithelial cell differentiation,regulation of oligodendrocyte progenitor proliferation,protein localization to plasma membrane,negative regulation of canonical Wnt signaling pathway,neuroligin clustering involved in postsynaptic membrane assembly,neuronal stem cell population maintenance,regulation of postsynaptic density protein 95 clustering,positive regulation of synaptic vesicle clustering",";cytoplasm,plasma membrane,cell-cell junction,adherens junction,cell-cell adherens junction,fascia adherens,focal adhesion,cell surface,postsynaptic density,intercalated disc,membrane,integral component of membrane,basolateral plasma membrane,apical plasma membrane,catenin complex,lamellipodium,cell junction,extracellular matrix,sarcolemma,plasma membrane raft,synapse,extracellular exosome,cortical actin cytoskeleton","cdh2",";calcium ion binding,protein binding,beta-catenin binding,enzyme binding,protein kinase binding,protein phosphatase binding,identical protein binding,alpha-catenin binding,gamma-catenin binding","Cadherin-2","D3YYT0_MOUSE;CADH2_MOUSE",0.000153554,"D3YYT0;P15116",2,0,2,1,2,2,2,2,2.004707813,2.077635288,3.21231389,7.370038033
"433",";oxidation-reduction process",";nucleosome,nucleoplasm,Golgi apparatus,cytosol,nuclear speck","glyr1",";DNA binding,phosphogluconate dehydrogenase (decarboxylating) activity,methylated histone binding,histone binding,NAD binding","Putative oxidoreductase GLYR1","D3YYT1_MOUSE;GLYR1_MOUSE",1.82e-21,"D3YYT1;Q922P9",4,3,4,3,4,4,4,4,65.33068848,98.16758728,107.3154526,92.0895462
"434",";snoRNA guided rRNA pseudouridine synthesis;;",";nuclear chromosome, telomeric region,fibrillar center,dense fibrillar component,Cajal body,box H/ACA snoRNP complex,box H/ACA telomerase RNP complex;;","gar1",";protein binding,snoRNA binding,box H/ACA snoRNA binding,telomerase RNA binding;;","H/ACA ribonucleoprotein complex subunit 1 (Fragment);H/ACA ribonucleoprotein complex subunit 1;Isoform 2 of H/ACA ribonucleoprotein complex subunit 1;Isoform 3 of H/ACA ribonucleoprotein complex subunit 1","D3YZ09_MOUSE;GAR1_MOUSE;GAR1_MOUSE;GAR1_MOUSE",1.45e-26,"D3YZ09;Q9CY66;Q9CY66-2;Q9CY66-3",7,6,7,7,7,7,7,7,251.3853149,257.7632141,414.0690613,313.5356445
"435",";fatty acid alpha-oxidation,lipid metabolic process,protein oligomerization",";peroxisome,intracellular membrane-bounded organelle","hacl1",";magnesium ion binding,receptor binding,lyase activity,carbon-carbon lyase activity,thiamine pyrophosphate binding,identical protein binding,cofactor binding","2-hydroxyacyl-CoA lyase 1","D3YZ54_MOUSE;HACL1_MOUSE",6.17e-40,"D3YZ54;Q9QXE0",4,2,4,3,4,4,4,4,52.59510803,24.57480049,54.20843506,56.42586136
"436",";;negative regulation of apoptotic process,positive regulation of fat cell differentiation,positive regulation of transcription from RNA polymerase II promoter",";;cytoplasm","aamdc",";;molecular_function","Mth938 domain-containing protein","D3YZD8_MOUSE;D3Z442_MOUSE;AAMDC_MOUSE",8.63e-05,"D3YZD8;D3Z442;Q8R0P4",3,2,2,3,3,3,3,3,23.66777992,20.59015656,26.23534012,43.24069977
"437",";;proteolysis,mitochondrion organization,cell adhesion,anterograde axonal transport,regulation of cell adhesion",";;mitochondrion,m-AAA complex,axon cytoplasm","spg7",";;metalloendopeptidase activity,ATP binding,zinc ion binding","Paraplegin","D3YZN4_MOUSE;D3Z1Z1_MOUSE;SPG7_MOUSE",8.62e-16,"D3YZN4;D3Z1Z1;Q3ULF4",2,2,3,3,4,4,4,4,43.51317215,83.12853241,78.40756989,80.11472321
